"ID"	"HAUTEUR"	"sur_map"	"sur_int"	"LIBELLE"	"LIBELONG"	"TYPEZONE"
"BATIMENT0000000334364934"	0	8.28505	0	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334364934"	0	8.28505	8.28505	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000004288077"	4.9	499.604	499.604	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000004284626"	7.3	24.0209	24.0209	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000004289966"	3.6	89.3263	89.3263	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000229738163"	7.7	178.287	178.287	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000229738162"	3.7	82.0587	82.0587	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000004291702"	4.7	41.4406	41.4406	"N"	"Ile des Loup et berges de la Marne a preserver"	"N"
"BATIMENT0000000004284377"	10.5	1036.6	1036.6	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334365878"	5.5	19.3772	19.3772	"UEa"	"Secteur d'evolution"	"U"
"BATIMENT0000000334367102"	0	22.7808	22.7808	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334367534"	0	3.73088	3.73088	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369201"	0	13.873	3.96663	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369201"	0	13.873	9.9064	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334373471"	6.1	1530.78	1530.78	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334361535"	8	205.367	205.367	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361536"	7.2	19.2532	19.2532	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361298"	4.5	48.6929	48.6929	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361351"	3.1	269.934	269.934	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334361659"	2.5	133.863	133.863	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334362107"	5.3	457.413	0.537125	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334362107"	5.3	457.413	456.876	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334362158"	7	508.024	508.024	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362175"	3.6	668.363	668.363	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362212"	5.8	944.7	944.7	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334362213"	5.9	164.265	164.265	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334363280"	6	519.639	519.639	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334363786"	4.6	40.117	40.117	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334363918"	5.2	120.694	120.694	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334364164"	6.5	390.794	390.794	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364190"	6.2	302.125	302.125	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334364349"	7.6	141.954	141.954	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364632"	5.7	342.733	342.733	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334364789"	3.8	218.42	218.42	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334366511"	7.7	325.572	325.572	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334366974"	18.3	533.763	533.763	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334367302"	4.8	123.566	123.566	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334367325"	3.7	132.472	132.472	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334366094"	4.7	292.393	292.393	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334366169"	3.6	54.4042	54.4042	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334367514"	1.7	105.047	105.047	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334365935"	1.8	202.918	202.918	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334369318"	3.4	325.67	325.67	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334372842"	2.3	141.52	141.52	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334367818"	5.1	319.383	0.284803	"UEa"	"Secteur d evolution"	"U"
"BATIMENT0000000334367818"	5.1	319.383	319.098	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334368829"	3.9	237.833	234.497	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334368829"	3.9	237.833	3.51112	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334373263"	8.1	526.194	526.349	"UEb"	"Secteur d evolution"	"U"
"BATIMENT0000000334373263"	8.1	526.194	6.40391e-017	"UB"	"Secteur residentiel des bords de Marne"	"U"
